transaction_id,company_name,department,transaction_date,amount
T001280,中部不動産株式会社,サポート部,2025-05-09,279574
T003234,関西エネルギー,経理部,2026-01-03,261038
T000324,京都製造 ,サポート部,2025-02-19,2925823
T002438,株式会社 九州自動車工業,営業部,2025-10-11,820426
T000721,,サポート部,2025-03-26,852309
T002744,東京メディカル,経理部,2025-11-03,374548
T001030,近畿システムズ株式会社 (食品),サポート部,2025-04-03,54929
T001363,XYZコーポレーション,サポート部,2025-06-30,3038122
T001673,関西エネルギー株式会社 (契約更新),経理部,2025-07-29,675504
T001825,株式会社 大阪電子工業,営業部,2025-08-07,2426087
T001571,旧東北機械工業(株),経理部,2025-06-11,137841
T003273,日本化学工業(株) (新規),経理部,2026-01-09,535129
T001618,大阪電子工業(株),営業部,2025-07-25,4464919
T001524,-,営業部,2025-06-01,524135
T001433,神戸物産株式会社,サポート部,2025-06-14,3839682
T002813,ABC商事 ,経理部,2025-12-09,2892096
T003550,中部不動産株式会社,営業部,2026-02-08,732125
T001224,(株)日本化学工業,営業部,2025-05-31,559279
T002107,西日本電気株式会社,営業部,2025-09-08,657125
T003678,京都製造株式会社,サポート部,2026-03-15,6280810
T001089,XYZコーポレーション  ,サポート部,2025-05-12,4445056
T000866,京都製造株式会社,サポート部,2025-04-13,3993379
T000617,旧株式会社 神戸物産,サポート部,2025-03-20,5568964
T001255,九州自動車工業,サポート部,2025-05-05,692331
T002354,(株)神戸物産,サポート部,2025-10-31,4074470
T002168,東京メディカル ,サポート部,2025-09-26,703787
T000771,ジャパン医薬品株式会社,営業部,2025-03-24,82141
T001844,京都製造,経理部,2025-08-10,1774637
T000224,近畿システムズ 田中様,サポート部,2025-01-31,177473
T000559,大阪電子工業,営業部,2025-03-11,4376091
T001383,(株)大阪電子工業  ,経理部,2025-06-08,1447053
T000346,神戸物産,サポート部,2025-02-22,3183682
T002126,(株)阪神運輸  ,経理部,2025-09-10,423885
T001700,日本化学工業 ,営業部,2025-07-22,197075
T001534,中部不動産株式会社  ,営業部,2025-06-16,302137
T001894,日本化学工業,営業部,2025-08-30,667033
T000373,関西エネルギー(株) (医療),営業部,2025-02-16,395298
T003747,西日本電気 (新規),サポート部,2026-03-31,282161
T002486,瀬戸内テクノロジー株式会社,サポート部,2025-10-05,185412
T000811,XYZコーポレーション,サポート部,2025-04-30,3539101
T000462,中部不動産株式会社  ,経理部,2025-02-25,473211
T002332,(株)京都製造,経理部,2025-10-03,4570456
T001838,京都製造(株),経理部,2025-08-04,2067331
T001253,(株)九州自動車工業 佐藤様,サポート部,2025-05-24,666222
T000668,日本化学工業株式会社,経理部,2025-03-22,529842
T000715,九州自動車工業,営業部,2025-03-04,649492
T001643,大阪電子工業株式会社,営業部,2025-07-04,2536254
T000709,九州自動車工業株式会社,経理部,2025-03-20,248334
T001720,九州自動車工業(株),サポート部,2025-07-26,438948
T002842,XYZコーポレーション,営業部,2025-12-08,4570515
T002807,全国保険株式会社,営業部,2025-11-18,85711
T003723,神戸物産  ,経理部,2026-03-27,5804622
T003667,京都製造株式会社,サポート部,2026-03-23,6430994
T002974,大阪鉄鋼,営業部,2025-12-18,459069
T000565,大阪電子工業株式会社,サポート部,2025-03-31,2663784
T000785,株式会社 ABC商事,経理部,2025-04-13,1329158
T000707,(株)九州自動車工業 (IT),営業部,2025-03-24,491238
T001093,XYZコーポレーション (継続),サポート部,2025-05-10,1378537
T001419,神戸物産株式会社,サポート部,2025-06-14,4445905
T001799,XYZコーポレーション (医療),サポート部,2025-08-11,3306385
T000923,大阪鉄鋼株式会社 経営企画,営業部,2025-04-02,427357
T001096,XYZコーポレーション,サポート部,2025-05-23,2094587
T002151,九州自動車工業(株) 渡辺さん,経理部,2025-09-10,479626
T000431,九州自動車工業  ,営業部,2025-02-03,520148
T002302,大阪電子工業	,経理部,2025-10-26,3951363
T002052,京都製造(株) [要確認],営業部,2025-09-11,1942983
T003823,中部不動産株式会社 (継続),サポート部,2026-03-16,470470
T000699,(株)兵庫食品工業 佐藤様,経理部,2025-03-01,568549
T000557,大阪電子工業  ,サポート部,2025-03-14,1472102
T002812,株式会社ABC商事,営業部,2025-12-17,3082955
T002710,株式会社 兵庫食品工業  ,営業部,2025-11-18,277895
T003091,瀬戸内テクノロジー株式会社,営業部,2025-12-19,210378
T002143,九州自動車工業株式会社,経理部,2025-09-11,506550
T000806,XYZコーポレーション,経理部,2025-04-11,3054927
T003442,京都製造 ,経理部,2026-02-16,2663541
T003616,XYZコーポレーション 渡辺さん,営業部,2026-03-28,2763918
T001355,XYZコーポレーション 渡辺さん,経理部,2025-06-10,1026928
T000846,大阪電子工業 ,サポート部,2025-04-19,4060703
T001941,東海運輸 ,経理部,2025-08-19,44639
T001840,京都製造株式会社,経理部,2025-08-31,921685
T000051,(株)大阪電子工業,営業部,2025-01-12,4272044
T003656,京都製造(株),経理部,2026-03-31,2001373
T001291,山陽建設株式会社  ,営業部,2025-05-10,135479
T001010,(株)東京メディカル  ,営業部,2025-04-30,594025
T002773,(株)近畿システムズ  ,営業部,2025-11-11,81799
T003133,(株)ABC商事 (新規),サポート部,2026-01-01,1826071
T003087,瀬戸内テクノロジー,営業部,2025-12-09,200270
T002658,西日本電気株式会社 購買部,営業部,2025-11-02,1008878
T001220,日本化学工業株式会社,経理部,2025-05-01,263098
T002884,大阪電子工業株式会社,営業部,2025-12-23,6933969
T000677,阪神運輸株式会社 渡辺さん,営業部,2025-03-20,289118
T002783,四国電機株式会社,サポート部,2025-11-26,170140
T003183,株式会社 大阪電子工業 田中様,サポート部,2026-01-11,3914316
T001710,阪神運輸株式会社,営業部,2025-07-30,309412
T002758,中部不動産(株) 田中様,営業部,2025-11-20,352898
T001723,九州自動車工業(株),経理部,2025-07-15,616680
T000400,日本化学工業(株),経理部,2025-02-08,666952
T001484,日本化学工業(株) (継続),営業部,2025-06-05,667723
T000190,北海道乳業株式会社,サポート部,2025-01-25,492099
T000358,株式会社 神戸物産	,経理部,2025-02-05,4080499
T002201,四国電機株式会社,サポート部,2025-09-12,138646
T000829,XYZコーポレーション (契約更新),サポート部,2025-04-18,1567517
T002937,神戸物産株式会社,営業部,2025-12-12,6394077
T002960,-,経理部,2025-12-03,817061
T001006,東京メディカル ,営業部,2025-04-01,498477
T001910,阪神運輸,経理部,2025-08-24,517013
T001971,株式会社ABC商事,サポート部,2025-09-18,1663639
T001490,阪神運輸株式会社  ,営業部,2025-06-05,460406
T002543,XYZコーポレーション,経理部,2025-11-26,2877706
T003800,九州自動車工業株式会社,サポート部,2026-03-14,695984
T000800,エービーシー商事,サポート部,2025-04-18,3025959
T002805,全国保険(株),サポート部,2025-11-21,121691
T001829,大阪電子工業,営業部,2025-08-15,2597998
T001034,東海運輸(株),サポート部,2025-04-12,142327
T000894,神戸物産株式会社  ,経理部,2025-04-22,1727334
T001765,株式会社 近畿システムズ,サポート部,2025-07-11,81976
T000113,関西エネルギー株式会社,経理部,2025-01-08,747957
T002591,京都製造株式会社,営業部,2025-11-02,3495537
T002638,大阪鉄鋼株式会社,経理部,2025-11-11,641154
T002303,-,経理部,2025-10-20,2203181
T000389,西日本電気 (継続),経理部,2025-02-16,311345
T003410,XYZコーポレーション 鈴木様,経理部,2026-02-15,3204264
T002257,XYZコーポレーション,経理部,2025-10-09,5101172
T003430,京都製造株式会社	,経理部,2026-02-10,2711649
T003124,株式会社 ABC商事,経理部,2026-01-28,1954360
T001455,株式会社 大阪鉄鋼,営業部,2025-06-23,459369
T003289,九州自動車工業 ,営業部,2026-01-08,517532
T002912,旧京都製造株式会社,営業部,2025-12-25,4576846
T000170,(株)兵庫食品工業,サポート部,2025-01-15,666297
T001892,（株）西日本電気,営業部,2025-08-20,453571
T003536,N/A,営業部,2026-02-26,600423
T003708,神戸物産株式会社,営業部,2026-03-20,7159876
T000824,XYZコーポレーション,営業部,2025-04-20,3248815
T000156,阪神運輸株式会社,サポート部,2025-01-26,569435
T000898,神戸物産株式会社,経理部,2025-04-20,1754124
T000296,XYZコーポレーション,経理部,2025-02-24,1135103
T001336,ABC商事 (新規),営業部,2025-06-08,3128292
T003497,西日本電気株式会社,経理部,2026-02-13,650390
T002298,大阪電子工業(株)	,サポート部,2025-10-04,3140827
T003830,株式会社 東海運輸,経理部,2026-03-08,53023
T003210,-,サポート部,2026-01-21,4500209
T000933,株式会社 西日本電気,営業部,2025-04-17,714514
T000545,XYZコーポレーション 佐藤様,サポート部,2025-03-18,4458178
T001703,日本化学工業株式会社,サポート部,2025-07-01,394342
T001036,山陽建設株式会社 鈴木様,サポート部,2025-04-10,95029
T000759,(株)瀬戸内テクノロジー,営業部,2025-03-26,198008
T003621,XYZコーポレーション,営業部,2026-03-30,3243560
T000865,京都製造株式会社,経理部,2025-04-27,4934357
T003775,阪神運輸,サポート部,2026-03-15,702364
T000498,エービーシー商事,サポート部,2025-03-23,2682352
T000784,ABC商事,サポート部,2025-04-23,3416894
T003077,山陽建設   ,営業部,2025-12-27,165585
T002723,北海道乳業株式会社,サポート部,2025-11-08,1001386
T002206,瀬戸内テクノロジー株式会社,経理部,2025-09-01,183758
T000764,大阪ファイナンス株式会社 高橋課長,経理部,2025-03-28,174528
T003182,株式会社 大阪電子工業 経理部,サポート部,2026-01-06,4947205
T000896,神戸物産株式会社,営業部,2025-04-21,1065883
T002012,大阪電子工業,営業部,2025-09-03,4636325
T000825,XYZコーポレーション,サポート部,2025-04-29,2030631
T003659,京都製造株式会社,サポート部,2026-03-06,5498893
T003498,西日本電気株式会社,営業部,2026-02-23,242840
T001188,関西エネルギー株式会社,サポート部,2025-05-19,759193
T000188,株式会社 北海道乳業,営業部,2025-01-28,253945
T001751,(株)中部不動産,経理部,2025-07-30,565862
T002544,XYZコーポレーション,サポート部,2025-11-09,4478312
T000899,神戸物産(株),営業部,2025-04-08,1779264
T002401,日本化学工業,営業部,2025-10-31,586543
T003207,京都製造株式会社 鈴木様,営業部,2026-01-05,6291099
T001746,東京メディカル(株),サポート部,2025-07-06,293990
T001091,XYZコーポレーション,営業部,2025-05-13,2297166
T000159,阪神運輸株式会社,サポート部,2025-01-06,410548
T001408,(不明),営業部,2025-06-06,1022330
T003340,四国電機 ,経理部,2026-01-28,166330
T002393,(株)西日本電気,サポート部,2025-10-31,828098
T000593,京都製造 山田部長,サポート部,2025-03-08,3970734
T001902,日本化学工業株式会社,経理部,2025-08-13,660271
T001539,中部不動産株式会社,営業部,2025-06-05,662241
T001175,神戸物産(株),サポート部,2025-05-05,4362861
T002816,ABC商事  ,サポート部,2025-12-21,4898296
T000259,全国保険(株) 総務部,サポート部,2025-01-01,98771
T001811,XYZコーポレーション (物流),経理部,2025-08-03,2099419
T002111,西日本電気(株),営業部,2025-09-03,436176
T003692,神戸物産株式会社,サポート部,2026-03-04,2805840
T000405,日本化学工業 ,経理部,2025-02-20,546765
T000548,大阪電子工業,経理部,2025-03-22,2808526
T000667,日本化学工業(株),営業部,2025-03-17,593340
T000135,西日本電気,経理部,2025-01-09,635098
T003541,中部不動産,営業部,2026-02-05,505293
T001869,株式会社 関西エネルギー,サポート部,2025-08-11,512313
T002755,中部不動産株式会社,営業部,2025-11-19,591459
T000414,阪神運輸 ,経理部,2025-02-18,662056
T003315,東京メディカル株式会社 購買部,営業部,2026-01-31,332293
T002451,北海道乳業 (食品),サポート部,2025-10-25,1015010
T000534,XYZコーポレーション,営業部,2025-03-17,3230302
T002341,(株)神戸物産  ,経理部,2025-10-24,5177367
T000629,関西エネルギー,営業部,2025-03-08,546805
T003190,株式会社 京都製造,サポート部,2026-01-28,5451841
T001694,西日本電気株式会社,営業部,2025-07-07,696295
T002357,神戸物産(株) 鈴木様,サポート部,2025-10-12,3549985
T002006,XYZコーポレーション,サポート部,2025-09-11,1049125
T003014,株式会社 兵庫食品工業,営業部,2025-12-19,590511
T003534,(株)北海道乳業 山田部長,サポート部,2026-02-19,320966
T000491,全国保険 ,サポート部,2025-02-05,177853
T001997,XYZコーポレーション,サポート部,2025-09-14,1278190
T003303,北海道乳業  ,経理部,2026-01-27,414199
T002983,,営業部,2025-12-30,819473
T001940,近畿システムズ株式会社	,経理部,2025-08-15,61080
T002659,西日本電気 ,営業部,2025-11-03,883186
T001925,(株)北海道乳業,営業部,2025-08-06,675931
T002161,(株)北海道乳業 (物流),営業部,2025-09-19,398543
T001507,九州自動車工業 ,サポート部,2025-06-13,287679
T002024,大阪電子工業(株),営業部,2025-09-21,1491958
T002613,神戸物産  ,サポート部,2025-11-22,3789847
T002608,京都製造株式会社,サポート部,2025-11-18,2117436
T002743,東京メディカル株式会社,経理部,2025-11-03,505134
T003446,京都製造 ,経理部,2026-02-12,4445459
T003368,N/A,経理部,2026-02-27,2015477
T001017,中部不動産株式会社,営業部,2025-04-23,325392
T000809,XYZコーポレーション 山田部長,サポート部,2025-04-08,1636310
T001870,関西エネルギー (継続),サポート部,2025-08-27,598400
T002666,旧西日本電気(株),営業部,2025-11-24,932170
T000080,京都製造株式会社,経理部,2025-01-28,4693741
T001293,山陽建設   ,経理部,2025-05-13,103531
T003264,旧(株)西日本電気,経理部,2026-01-25,219347
T002326,(株)京都製造,サポート部,2025-10-19,5570240
T000320,京都製造(株),経理部,2025-02-08,1404205
T001530,東京メディカル,営業部,2025-06-23,442818
T003251,大阪鉄鋼 ,営業部,2026-01-06,900753
T002317,京都製造(株)  ,営業部,2025-10-30,2691204
T001143,京都製造株式会社,営業部,2025-05-15,3616450
T002908,京都製造株式会社,サポート部,2025-12-04,4097482
T003757,株式会社 西日本電気 (食品),営業部,2026-03-04,815438
T003405,XYZコーポレーション,サポート部,2026-02-18,2782159
T001026,-,経理部,2025-04-14,682860
T002428,(株)九州自動車工業,営業部,2025-10-07,432658
T000949,日本化学工業(株),サポート部,2025-04-25,635320
T003579,エービーシー商事,経理部,2026-03-07,3759662
T000805,(不明),経理部,2025-04-06,1834143
T002782,山陽建設 ,サポート部,2025-11-14,189109
T003038,北海道乳業株式会社,経理部,2025-12-25,664213
T002091,(株)大阪鉄鋼 (食品),サポート部,2025-09-02,760245
T001300,株式会社 瀬戸内テクノロジー,営業部,2025-05-19,131346
T001770,瀬戸内テクノロジー ,サポート部,2025-07-28,95533
T003531,北海道乳業 (継続),サポート部,2026-02-21,219634
T002673,(不明),経理部,2025-11-24,334005
T003240,(株)関西エネルギー,経理部,2026-01-30,245592
T002424,兵庫食品工業(株) 田中様,営業部,2025-10-10,832755
T001321,ABC商事(株),サポート部,2025-06-13,1892413
T003529,北海道乳業 ,経理部,2026-02-04,571257
T003516,(株)九州自動車工業,営業部,2026-02-04,746882
T003831,東海運輸株式会社 高橋課長,サポート部,2026-03-23,88459
T002928,神戸物産(株),経理部,2025-12-03,4614867
T002198,-,経理部,2025-09-11,153687
T000192,(株)北海道乳業,営業部,2025-01-06,486544
T000301,(株)大阪電子工業,営業部,2025-02-04,3064802
T001262,株式会社 北海道乳業  ,営業部,2025-05-01,277312
T003670,京都製造株式会社 (継続),経理部,2026-03-28,3319231
T003287,(株)兵庫食品工業 高橋課長,サポート部,2026-01-28,767459
T003278,阪神運輸株式会社,経理部,2026-01-04,395898
T002165,(株)東京メディカル,サポート部,2025-09-02,650987
T003392,XYZコーポレーション,経理部,2026-02-07,5157731
T001452,関西エネルギー株式会社,経理部,2025-06-17,214311
T000618,神戸物産,サポート部,2025-03-10,4687660
T003533,北海道乳業  ,経理部,2026-02-22,179919
T000315,(株)大阪電子工業 渡辺さん,営業部,2025-02-20,4131844
T000578,大阪電子工業,サポート部,2025-03-04,5292860
T003787,(株)兵庫食品工業  ,サポート部,2026-03-16,524798
T003376,ABC商事(株) (契約更新),サポート部,2026-02-25,2703462
T002800,株式会社 新潟食品,営業部,2025-11-11,151292
T003600,ABC商事,サポート部,2026-03-22,6683456
T002371,株式会社 大阪鉄鋼,営業部,2025-10-10,660292
T000440,北海道乳業株式会社 高橋課長,サポート部,2025-02-14,476802
T000762,(株)大阪ファイナンス,経理部,2025-03-06,81666
T003725,関西エネルギー(株),サポート部,2026-03-22,1031109
T003773,阪神運輸株式会社,営業部,2026-03-09,417031
T002897,京都製造	,サポート部,2025-12-18,3160971
T001919,九州自動車工業(株)  ,営業部,2025-08-14,280570
T002033,大阪電子工業株式会社,サポート部,2025-09-09,1436062
T000369,関西エネルギー,経理部,2025-02-05,555878
T000144,(株)日本化学工業,営業部,2025-01-13,532043
T003780,阪神運輸株式会社  ,経理部,2026-03-08,778123
T002530,XYZコーポレーション,経理部,2025-11-27,3300207
T000250,東北機械工業株式会社,サポート部,2025-01-29,151356
T002664,西日本電気 ,サポート部,2025-11-21,755766
T000744,中部不動産  ,経理部,2025-03-28,326146
T002831,XYZコーポレーション,経理部,2025-12-21,6939699
T003546,中部不動産,営業部,2026-02-12,563783
T000330,(株)京都製造,経理部,2025-02-21,2486812
T002349,神戸物産株式会社,営業部,2025-10-01,1661115
T003318,東京メディカル(株) 営業部,サポート部,2026-01-02,458089
T003574,エービーシー商事,経理部,2026-03-09,2514443
T001886,(株)西日本電気,サポート部,2025-08-14,527174
T000241,瀬戸内テクノロジー,サポート部,2025-01-20,142488
T000157,未設定,営業部,2025-01-25,343423
T001134,(株)大阪電子工業,経理部,2025-05-16,2868320
T003583,株式会社 ABC商事,経理部,2026-03-26,4971209
T001227,阪神運輸株式会社,サポート部,2025-05-29,712729
T001719,株式会社 九州自動車工業 経理部,経理部,2025-07-06,539830
T001885,大阪鉄鋼,サポート部,2025-08-20,260128
T002164,東京メディカル 佐藤様,サポート部,2025-09-29,463893
T003304,(株)北海道乳業,サポート部,2026-01-03,710270
T003191,株式会社 京都製造,サポート部,2026-01-06,3536711
T002920,(株)京都製造,営業部,2025-12-03,6104390
T002818,株式会社ABC商事,サポート部,2025-12-19,4498631
T000258,旧(株)全国保険,営業部,2025-01-05,188794
T000163,兵庫食品工業,経理部,2025-01-18,329592
T001183,神戸物産株式会社	,サポート部,2025-05-13,4041284
T001436,神戸物産,サポート部,2025-06-22,3555143
T002845,XYZコーポレーション 総務部,経理部,2025-12-23,4892102
T002335,(株)神戸物産,経理部,2025-10-21,5628053
T001326,ABC商事株式会社  ,サポート部,2025-06-16,1283172
T001274,中部不動産(株),サポート部,2025-05-23,718827
