year_month,product_id,product_name,category,launch_date,unit_price,units_sold,revenue,material_cost,manufacturing_cost,logistics_cost,total_cost,gross_profit,gross_margin_pct
2025-09-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1553,3326,5165278,3652131,516527,258263,4426921,738357,14.29
2025-10-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1565,3940,6166100,5144524,616610,308305,6069439,96661,1.57
2025-11-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1567,3668,5747756,4795490,574775,287387,5657652,90104,1.57
2025-12-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1517,4857,7368069,6147356,736806,368403,7252565,115504,1.57
2026-01-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1561,3358,5241838,4373390,524183,262091,5159664,82174,1.57
2026-02-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1543,3515,5423645,4525076,542364,271182,5338622,85023,1.57
2026-03-01,P0001,エンジンピストン 小型,自動車部品,2020-01-03,1545,5229,8078805,6740340,807880,403940,7952160,126645,1.57
2024-04-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2572,425,1093100,818675,109310,54655,982640,110460,10.11
2024-05-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2598,516,1340568,1004015,134056,67028,1205099,135469,10.11
2024-06-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2595,400,1038000,777408,103800,51900,933108,104892,10.11
2024-07-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2575,488,1256600,941128,125660,62830,1129618,126982,10.11
2024-08-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2639,446,1176994,881507,117699,58849,1058055,118939,10.11
2024-09-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2667,517,1378839,1032678,137883,68941,1239502,139337,10.11
2024-10-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2664,546,1454544,1089378,145454,72727,1307559,146985,10.11
2024-11-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2648,428,1133344,848815,113334,56667,1018816,114528,10.11
2024-12-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2622,489,1282158,960269,128215,64107,1152591,129567,10.11
2025-01-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2667,530,1413510,1058645,141351,70675,1270671,142839,10.11
2025-02-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2616,494,1292304,967868,129230,64615,1161713,130591,10.11
2025-03-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2606,494,1287364,964168,128736,64368,1157272,130092,10.11
2025-04-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2606,410,1068460,800221,106846,53423,960490,107970,10.11
2025-05-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2573,363,933999,699516,93399,46699,839614,94385,10.11
2025-06-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2612,508,1326896,993776,132689,66344,1192809,134087,10.11
2025-07-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2629,482,1267178,949050,126717,63358,1139125,128053,10.11
2025-08-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2582,316,815912,611075,81591,40795,733461,82451,10.11
2025-09-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2667,403,1074801,804970,107480,53740,966190,108611,10.11
2025-10-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2619,426,1115694,986004,111569,55784,1153357,-37663,-3.38
2025-11-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2667,591,1576197,1392978,157619,78809,1629406,-53209,-3.38
2025-12-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2570,429,1102530,974370,110253,55126,1139749,-37219,-3.38
2026-01-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2572,394,1013368,895572,101336,50668,1047576,-34208,-3.38
2026-02-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2625,401,1052625,930266,105262,52631,1088159,-35534,-3.38
2026-03-01,P0002,エンジンピストン 中型,自動車部品,2019-06-21,2621,586,1535906,1357370,153590,76795,1587755,-51849,-3.38
2024-04-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4027,2775,11174925,7802374,1117492,558746,9478612,1696313,15.18
2024-05-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4037,3299,13318063,9298721,1331806,665903,11296430,2021633,15.18
2024-06-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3955,3912,15471960,10802580,1547196,773598,13123374,2348586,15.18
2024-07-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3936,2496,9824256,6859332,982425,491212,8332969,1491287,15.18
2024-08-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4050,2749,11133450,7773416,1113345,556672,9443433,1690017,15.18
2024-09-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4023,3155,12692565,8861996,1269256,634628,10765880,1926685,15.18
2024-10-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3929,3539,13904731,9708335,1390473,695236,11794044,2110687,15.18
2024-11-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4004,3387,13561548,9468723,1356154,678077,11502954,2058594,15.18
2024-12-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3969,3723,14776587,10317068,1477658,738829,12533555,2243032,15.18
2025-01-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4015,2956,11868340,8286519,1186834,593417,10066770,1801570,15.18
2025-02-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4049,2877,11648973,8133356,1164897,582448,9880701,1768272,15.18
2025-03-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3917,3193,12506981,8732420,1250698,625349,10608467,1898514,15.18
2025-04-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3983,3148,12538484,8754416,1253848,626924,10635188,1903296,15.18
2025-05-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3969,3161,12546009,8759670,1254600,627300,10641570,1904439,15.18
2025-06-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3977,3973,15800621,11032052,1580062,790031,13402145,2398476,15.18
2025-07-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3967,2958,11734386,8192992,1173438,586719,9953149,1781237,15.18
2025-08-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3994,2330,9306020,6497497,930602,465301,7893400,1412620,15.18
2025-09-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4001,2956,11826956,8257624,1182695,591347,10031666,1795290,15.18
2025-10-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4056,2857,11587992,9547119,1158799,579399,11285317,302675,2.61
2025-11-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4043,3603,14566929,12001407,1456692,728346,14186445,380484,2.61
2025-12-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3910,3448,13481680,11107292,1348168,674084,13129544,352136,2.61
2026-01-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4003,3744,14987232,12347686,1498723,749361,14595770,391462,2.61
2026-02-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,3968,3690,14641920,12063191,1464192,732096,14259479,382441,2.61
2026-03-01,P0003,エンジンピストン 大型,自動車部品,2021-01-04,4036,3849,15534564,12798623,1553456,776728,15128807,405757,2.61
2024-04-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5503,595,3274285,2225011,327428,163714,2716153,558132,17.05
2024-05-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5568,678,3775104,2565338,377510,188755,3131603,643501,17.05
2024-06-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5451,633,3450483,2344744,345048,172524,2862316,588167,17.05
2024-07-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5469,676,3697044,2512293,369704,184852,3066849,630195,17.05
2024-08-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5459,621,3390039,2303670,339003,169501,2812174,577865,17.05
2024-09-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5521,591,3262911,2217281,326291,163145,2706717,556194,17.05
2024-10-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5402,597,3224994,2191515,322499,161249,2675263,549731,17.05
2024-11-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5522,772,4262984,2896872,426298,213149,3536319,726665,17.05
2024-12-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5418,812,4399416,2989583,439941,219970,3649494,749922,17.05
2025-01-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5567,563,3134221,2129831,313422,156711,2599964,534257,17.05
2025-02-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5401,575,3105575,2110365,310557,155278,2576200,529375,17.05
2025-03-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5474,673,3684002,2503430,368400,184200,3056030,627972,17.05
2025-04-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5524,731,4038044,2744016,403804,201902,3349722,688322,17.05
2025-05-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5396,687,3707052,2519093,370705,185352,3075150,631902,17.05
2025-06-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5463,629,3436227,2335057,343622,171811,2850490,585737,17.05
2025-07-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5418,516,2795688,1899784,279568,139784,2319136,476552,17.05
2025-08-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5386,524,2822264,1917844,282226,141113,2341183,481081,17.05
2025-09-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5512,681,3753672,2550774,375367,187683,3113824,639848,17.05
2025-10-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5463,580,3168540,2540720,316854,158427,3016001,152539,4.81
2025-11-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5522,817,4511474,3617563,451147,225573,4294283,217191,4.81
2025-12-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5456,789,4304784,3451827,430478,215239,4097544,207240,4.81
2026-01-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5411,753,4074483,3267158,407448,203724,3878330,196153,4.81
2026-02-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5397,630,3400110,2726406,340011,170005,3236422,163688,4.81
2026-03-01,P0004,エンジンピストン 業務用,自動車部品,2023-02-10,5444,725,3946900,3164854,394690,197345,3756889,190011,4.81
2024-04-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7687,828,6364836,4659800,636483,318241,5614524,750312,11.79
2024-05-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7630,684,5218920,3820856,521892,260946,4603694,615226,11.79
2024-06-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7683,772,5931276,4342384,593127,296563,5232074,699202,11.79
2024-07-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7663,675,5172525,3786890,517252,258626,4562768,609757,11.79
2024-08-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7878,744,5861232,4291103,586123,293061,5170287,690945,11.79
2024-09-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7789,791,6161099,4510641,616109,308054,5434804,726295,11.79
2024-10-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7899,953,7527747,5511186,752774,376387,6640347,887400,11.79
2024-11-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7865,910,7157150,5239866,715715,357857,6313438,843712,11.79
2024-12-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7835,967,7576445,5546839,757644,378822,6683305,893140,11.79
2025-01-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7615,779,5932085,4342976,593208,296604,5232788,699297,11.79
2025-02-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7737,638,4936206,3613877,493620,246810,4354307,581899,11.79
2025-03-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7716,869,6705204,4908989,670520,335260,5914769,790435,11.79
2025-04-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7761,772,5991492,4386469,599149,299574,5285192,706300,11.79
2025-05-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7623,853,6502419,4760527,650241,325120,5735888,766531,11.79
2025-06-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7835,705,5523675,4043972,552367,276183,4872522,651153,11.79
2025-07-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7898,812,6413176,4695191,641317,320658,5657166,756010,11.79
2025-08-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7865,773,6079645,4451007,607964,303982,5362953,716692,11.79
2025-09-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7714,733,5654362,4139650,565436,282718,4987804,666558,11.79
2025-10-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7777,754,5863858,5065771,586385,293192,5945348,-81490,-1.39
2025-11-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7696,1024,7880704,6808119,788070,394035,7990224,-109520,-1.39
2025-12-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7681,850,6528850,5640256,652885,326442,6619583,-90733,-1.39
2026-01-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7650,687,5255550,4540255,525555,262777,5328587,-73037,-1.39
2026-02-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7884,652,5140368,4440750,514036,257018,5211804,-71436,-1.39
2026-03-01,P0005,エンジンピストン HD,自動車部品,2019-05-04,7848,837,6568776,5674747,656877,328438,6660062,-91286,-1.39
2024-04-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2769,2970,8223930,6177732,822393,411196,7411321,812609,9.88
2024-05-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2779,3810,10587990,7953590,1058799,529399,9541788,1046202,9.88
2024-06-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2765,4155,11488575,8630100,1148857,574428,10353385,1135190,9.88
2024-07-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2841,3437,9764517,7335006,976451,488225,8799682,964835,9.88
2024-08-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2780,2710,7533800,5659314,753380,376690,6789384,744416,9.88
2024-09-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2779,4228,11749612,8826189,1174961,587480,10588630,1160982,9.88
2024-10-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2798,3639,10181922,7648556,1018192,509096,9175844,1006078,9.88
2024-11-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2836,3535,10025260,7530873,1002526,501263,9034662,990598,9.88
2024-12-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2792,4151,11589592,8705983,1158959,579479,10444421,1145171,9.88
2025-01-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2773,4044,11214012,8423852,1121401,560700,10105953,1108059,9.88
2025-02-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2813,2858,8039554,6039231,803955,401977,7245163,794391,9.88
2025-03-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2754,4697,12935538,9717044,1293553,646776,11657373,1278165,9.88
2025-04-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2808,2991,8398728,6309039,839872,419936,7568847,829881,9.88
2025-05-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2759,3807,10503513,7890132,1050351,525175,9465658,1037855,9.88
2025-06-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2833,3416,9677528,7269660,967752,483876,8721288,956240,9.88
2025-07-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2771,3044,8434924,6336229,843492,421746,7601467,833457,9.88
2025-08-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2795,2661,7437495,5586970,743749,371874,6702593,734902,9.88
2025-09-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2846,3536,10063456,7559566,1006345,503172,9069083,994373,9.88
2025-10-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2827,3957,11186439,9915704,1118643,559321,11593668,-407229,-3.64
2025-11-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2796,4680,13085280,11598844,1308528,654264,13561636,-476356,-3.64
2025-12-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2853,3599,10267947,9101549,1026794,513397,10641740,-373793,-3.64
2026-01-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2831,3203,9067693,8037639,906769,453384,9397792,-330099,-3.64
2026-02-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2760,3929,10844040,9612200,1084404,542202,11238806,-394766,-3.64
2026-03-01,P0006,コンロッド 小型,自動車部品,2023-11-07,2772,3872,10733184,9513937,1073318,536659,11123914,-390730,-3.64
2024-04-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4257,1249,5316993,3562691,531699,265849,4360239,956754,17.99
2024-05-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4364,1417,6183788,4143494,618378,309189,5071061,1112727,17.99
2024-06-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4253,1495,6358235,4260383,635823,317911,5214117,1144118,17.99
2024-07-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4251,1092,4642092,3110469,464209,232104,3806782,835310,17.99
2024-08-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4370,968,4230160,2834451,423016,211508,3468975,761185,17.99
2024-09-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4246,1281,5439126,3644527,543912,271956,4460395,978731,17.99
2024-10-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4276,1595,6820220,4569940,682022,341011,5592973,1227247,17.99
2024-11-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4235,1194,5056590,3388206,505659,252829,4146694,909896,17.99
2024-12-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4342,1478,6417476,4300078,641747,320873,5262698,1154778,17.99
2025-01-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4365,1179,5146335,3448341,514633,257316,4220290,926045,17.99
2025-02-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4353,1521,6620913,4436393,662091,331045,5429529,1191384,17.99
2025-03-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4216,1307,5510312,3692226,551031,275515,4518772,991540,17.99
2025-04-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4260,1453,6189780,4147509,618978,309489,5075976,1113804,17.99
2025-05-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4338,1327,5756526,3857204,575652,287826,4720682,1035844,17.99
2025-06-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4342,1135,4928170,3302157,492817,246408,4041382,886788,17.99
2025-07-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4333,1411,6113863,4096640,611386,305693,5013719,1100144,17.99
2025-08-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4358,1107,4824306,3232563,482430,241215,3956208,868098,17.99
2025-09-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4336,1348,5844928,3916438,584492,292246,4793176,1051752,17.99
2025-10-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4336,1580,6850880,5416771,685088,342544,6444403,406477,5.93
2025-11-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4228,1343,5678204,4489574,567820,283910,5341304,336900,5.93
2025-12-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4294,1254,5384676,4257491,538467,269233,5065191,319485,5.93
2026-01-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4308,1337,5759796,4554086,575979,287989,5418054,341742,5.93
2026-02-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4343,1278,5550354,4388487,555035,277517,5221039,329315,5.93
2026-03-01,P0007,コンロッド 中型,自動車部品,2020-10-31,4250,1710,7267500,5746179,726750,363375,6836304,431196,5.93
2024-04-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7080,1940,13735200,9589363,1373520,686760,11649643,2085557,15.18
2024-05-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7157,1586,11351002,7924812,1135100,567550,9627462,1723540,15.18
2024-06-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7136,2258,16113088,11249509,1611308,805654,13666471,2446617,15.18
2024-07-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7211,2003,14443633,10083963,1444363,722181,12250507,2193126,15.18
2024-08-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7113,1525,10847325,7573165,1084732,542366,9200263,1647062,15.18
2024-09-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7211,1887,13607157,9499969,1360715,680357,11541041,2066116,15.18
2024-10-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7049,1677,11821173,8253067,1182117,591058,10026242,1794931,15.18
2024-11-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7012,2413,16919956,11812832,1691995,845997,14350824,2569132,15.18
2024-12-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7040,2233,15720320,10975294,1572032,786016,13333342,2386978,15.18
2025-01-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7182,2273,16324686,11397238,1632468,816234,13845940,2478746,15.18
2025-02-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7150,1755,12548250,8760683,1254825,627412,10642920,1905330,15.18
2025-03-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7104,1960,13923840,9721064,1392384,696192,11809640,2114200,15.18
2025-04-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7167,1926,13803642,9637147,1380364,690182,11707693,2095949,15.18
2025-05-01,P0008,コンロッド 大型,自動車部品,2023-11-01,6994,1467,10260198,7163257,1026019,513009,8702285,1557913,15.18
2025-06-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7091,2068,14664188,10237946,1466418,733209,12437573,2226615,15.18
2025-07-01,P0008,コンロッド 大型,自動車部品,2023-11-01,6948,1713,11901924,8309444,1190192,595096,10094732,1807192,15.18
2025-08-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7177,1522,10923394,7626274,1092339,546169,9264782,1658612,15.18
2025-09-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7044,1549,10911156,7617730,1091115,545557,9254402,1656754,15.18
2025-10-01,P0008,コンロッド 大型,自動車部品,2023-11-01,6946,2359,16385614,13498936,1638561,819280,15956777,428837,2.62
2025-11-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7005,2307,16160535,13313509,1616053,808026,15737588,422947,2.62
2025-12-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7143,2296,16400328,13511057,1640032,820016,15971105,429223,2.62
2026-01-01,P0008,コンロッド 大型,自動車部品,2023-11-01,6993,2201,15391593,12680033,1539159,769579,14988771,402822,2.62
2026-02-01,P0008,コンロッド 大型,自動車部品,2023-11-01,7153,1931,13812443,11379084,1381244,690622,13450950,361493,2.62
2026-03-01,P0008,コンロッド 大型,自動車部品,2023-11-01,6997,1884,13182348,10859994,1318234,659117,12837345,345003,2.62
2024-04-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9613,699,6719487,4783210,671948,335974,5791132,928355,13.82
2024-05-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9626,623,5996998,4268912,599699,299849,5168460,828538,13.82
2024-06-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9523,630,5999490,4270686,599949,299974,5170609,828881,13.82
2024-07-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9586,548,5253128,3739395,525312,262656,4527363,725765,13.82
2024-08-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9680,465,4501200,3204141,450120,225060,3879321,621879,13.82
2024-09-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9475,699,6623025,4714544,662302,331151,5707997,915028,13.82
2024-10-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9396,673,6323508,4501336,632350,316175,5449861,873647,13.82
2024-11-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9686,813,7874718,5605552,787471,393735,6786758,1087960,13.82
2024-12-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9469,763,7224847,5142946,722484,361242,6226672,998175,13.82
2025-01-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9423,539,5078997,3615441,507899,253949,4377289,701708,13.82
2025-02-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9388,520,4881760,3475040,488176,244088,4207304,674456,13.82
2025-03-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9719,567,5510673,3922726,551067,275533,4749326,761347,13.82
2025-04-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9392,490,4602080,3275952,460208,230104,3966264,635816,13.82
2025-05-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9563,668,6388084,4547304,638808,319404,5505516,882568,13.82
2025-06-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9582,690,6611580,4706397,661158,330579,5698134,913446,13.82
2025-07-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9585,645,6182325,4400836,618232,309116,5328184,854141,13.82
2025-08-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9614,533,5124262,3647663,512426,256213,4416302,707960,13.82
2025-09-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9474,609,5769666,4107088,576966,288483,4972537,797129,13.82
2025-10-01,P0009,コンロッド 業務用,自動車部品,2023-09-13,9407,644,6058108,5088647,605810,302905,5997362,60746,1.0
